Region,Nationality,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
NORTH AMERICA,Canada,88600,93598,107671,135884,157643,176567,208214,222364,224069,242372,259017,256021,255222,268485,281306
NORTH AMERICA,U.S.A.,329147,348182,410803,526120,611165,696739,799062,804933,827140,931292,980688,1039947,1085309,1118983,1213624
NORTH AMERICA,Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NORTH AMERICA,Total,417747,441780,518474,662004,768808,873306,1007276,1027297,1051209,1173664,1239705,1295968,1340531,1387468,1494930
CENTRAL AND SOUTH AMERICA,Argentina,2906,1359,1805,2799,3313,4493,4992,5087,6011,7626,9391,9831,10325,9731,9351
CENTRAL AND SOUTH AMERICA,Brazil,3819,3622,4528,7397,7005,9148,10788,11530,13964,15219,17268,18440,18551,19563,20610
CENTRAL AND SOUTH AMERICA,Mexico,3473,3105,3563,4570,5398,6502,8299,9272,8185,10458,10876,11254,13074,13978,14049
CENTRAL AND SOUTH AMERICA,Others,11727,9586,11758,13399,19870,18602,18240,17616,18444,29425,23453,24174,26486,26654,26821
CENTRAL AND SOUTH AMERICA,Total,21925,17672,21654,28165,35586,38745,42319,43505,46604,62728,60988,63699,68436,69926,70831
WESTERN EUROPE,Austria,17787,13801,16903,21093,27187,28045,26692,25900,27930,32620,36483,38585,36465,34360,33670
WESTERN EUROPE,Belgium,18851,13945,17309,24007,25596,29156,34207,36277,34759,37709,40478,42604,38091,37441,36684
WESTERN EUROPE,Denmark,14531,10230,11327,15805,20170,21592,28347,34253,30857,35541,34683,33084,30842,26775,24073
WESTERN EUROPE,Finland,8186,7673,8001,12525,16258,22860,34364,29223,24874,24089,23730,22416,21212,18765,18129
WESTERN EUROPE,France,102434,78194,97654,131824,152258,175345,204827,207802,196462,225232,231423,240674,248379,246101,230854
WESTERN EUROPE,Germany,80011,64891,76868,116679,120243,156808,184195,204344,191616,227720,240235,254783,252003,239106,248314
WESTERN EUROPE,Greece,3996,3207,3455,4468,4793,5146,6455,6672,6664,7441,7253,7493,7983,8300,8087
WESTERN EUROPE,Ireland,6136,5793,7083,8996,10052,14936,18376,18924,19223,20329,22089,24546,27174,28978,32973
